Account	Name	StNum	StName	City	State	Zip	Phone	PermitTypes	Expiration	FacilityType	District	Risk	Employees	Score	InspectionDate	StartTime	EndTime	ActivityType	InspectorID	InspectorName	SiteCount
200129	CHARIVARI REST	2521	" ""BAGBY"""	" ""HOUSTON"""	" ""TX"""	" ""77006"""		"F,G"	5/22/2013	(001) Restaurant - Full Service	402	3	12	2	2/12/2013	1:40 PM	2:25 PM	Routine Inspection (001)	DTN1	Denise Nguyen	5	
200130	FARRAGO	318	" ""GRAY"""	" ""HOUSTON"""	" ""TX"""	" ""77002"""		"F,G"	5/25/2013	(001) Restaurant - Full Service	401	3	25	1	3/20/2013	5:00 PM	6:00 PM	Routine Inspection (001)	DTN1	Denise Nguyen	4	
200132	LITTLE WOODROWS IN MIDTOWN	2306	" ""BRAZOS"""	" ""HOUSTON"""	" ""TX"""	" ""77006"""	(713) 409-1481	F	6/12/2013	(062) Bar - Full Service	402	1	5	1	3/24/2013	4:15 PM	4:45 PM	Routine Inspection (001)	DTN1	Denise Nguyen	0	
200141	SHIPLEY DONUT	5341	" ""AIRLINE"""	" ""HOUSTON"""	" ""TX"""	" ""77022"""		"F,G"	8/29/2013	(120) Bakery - Retail 	305	2	7	3	1/9/2013	8:10 AM	9:40 AM	Routine Inspection (001)	RLR1	Remonda Robinson	2	
200142	OSTIONERIA LAS ROCAS	7220	" ""AIRLINE"""	" ""HOUSTON"""	" ""TX"""	" ""77076"""		"F,G"	9/5/2013	(001) Restaurant - Full Service	305	3	18	4	3/18/2013	10:00 AM	12:25 PM	Routine Inspection (001)	RLR1	Remonda Robinson	2	
200143	KOJAK'S	1912	" ""18TH"""	" ""HOUSTON"""	" ""TX"""	" ""77008"""		"F,G"	9/12/2013	(001) Restaurant - Full Service	303	3	9	1	5/6/2013	9:50 AM	10:45 AM	Routine Inspection (001)	DXM1	David Martinez	3	
200146	RICHARDS GROCERY STORE	819	" ""ANTOINE"""	" ""HOUSTON"""	" ""TX"""	" ""77024"""		"F,D,G"	9/27/2013	(101) Convenience Grocery - Open foods	302	1	3	2	11/29/2012	7:30 AM	8:00 AM	Routine Inspection (001)	VLT1	Vakeshia Taylor	2	
200147	KINGSPOINT MART	10640	" ""KINGSPOINT"""	" ""HOUSTON"""	" ""TX"""	" ""77075"""		"F,D,G"	6/20/2013	(002) Restaurant - Single Service	106	2	0	2	2/26/2013	10:05 AM	10:30 AM	Routine Inspection (001)	LWT1	LaTerica Thomas	2	
200150	BISTRO LE CEP	11112	" ""WESTHEIMER"""	" ""HOUSTON"""	" ""TX"""	" ""77042"""		"F,G"	6/29/2013	(001) Restaurant - Full Service	207	3	25	1	2/20/2013	8:20 AM	9:10 AM	Routine Inspection (001)	MXR1	Marja Ramsey	4	
200175	REFRESQUERIA MICHOACAN	1010	" ""SHEPHERD"""	" ""HOUSTON"""	" ""TX"""	" ""77008"""		"F,G"	9/23/2013	(001) Restaurant - Full Service	303	3	9	1	2/18/2013	7:55 AM	8:45 AM	Routine Inspection (001)	DXM1	David Martinez	2	
200184	SHIPLEY DONUTS	8601	" ""JENSEN"""	" ""HOUSTON"""	" ""TX"""	" ""77093"""		"F,G"	9/28/2013	(120) Bakery - Retail 	406	2	6	1	11/27/2012	10:40 AM	12:10 AM	Routine Inspection (001)	GXL1	Gary Lee	3	
200187	SMOOTHIE KING	562	" ""MEYERLAND PLAZA"""	" ""HOUSTON"""	" ""TX"""	" ""77096"""		"F,G"	10/8/2013	(002) Restaurant - Single Service	104	2	0	1	9/13/2012	2:00 PM	2:50 PM	Routine Inspection (001)	SRL1	Sharhonda Lee	2	
200190	SHOP-N-GO	4401	" ""IRVINGTON"""	" ""HOUSTON"""	" ""TX"""	" ""77009"""		F	10/6/2013	(101) Convenience Grocery - Open foods	301	1	2	1	1/16/2013	7:35 AM	8:35 AM	Routine Inspection (001)	JXM1	Javier Mora	1	
200202	OUR STORE	7575	" ""WILLOWCHASE"""	" ""HOUSTON"""	" ""TX"""	" ""77070"""		F	10/12/2013	(100) Convenience Grocery - Packaged	306	1	1	1	4/8/2013	3:10 PM	3:25 PM	Routine Inspection (001)	ZYW1	Zenobia Walker	0	
200207	WAL-MART #2718	9555	" ""POST OAK"""	" ""HOUSTON"""	" ""TX"""	" ""77035"""		"F,D,G"	1/1/2014	(002) Restaurant - Single Service	104	3	325	1	3/28/2013	7:30 AM	8:30 AM	Routine Inspection (001)	SRL1	Sharhonda Lee	1	
200208	HOUSTON GARDENS ELEMENTARY	6820	" ""HOMESTEAD"""	" ""HOUSTON"""	" ""TX"""	" ""77028"""		"F,D,G"	1/1/2014	(031) School Cafeteria - Intermediate / Middle / Jr. High	405	3	4	1	4/17/2013	11:00 AM	11:45 AM	Routine Inspection (001)	KMY1	Karen Yokooji	3	
200211	KROGER #346	1505	" ""WIRT"""	" ""HOUSTON"""	" ""TX"""	" ""77055"""		"F,G"	1/1/2014	(091) Retail Food Market - Multi Service	302	3	0	3	3/28/2013	7:40 AM	10:40 AM	Routine Inspection (001)	VLT1	Vakeshia Taylor	3	
200215	EDWARDS THEATRES	3839	" ""WESLAYAN"""	" ""HOUSTON"""	" ""TX"""	" ""77046"""	(713) 871-8880	"F,D,G"	10/20/2013	(002) Restaurant - Single Service	403	2	30	2	2/19/2013	11:25 AM	12:00 PM	Routine Inspection (001)	TXS1	Tenitra Smith	6	
200223	SUNRISE GROCERY #10	1446	" ""SHERWOOD FOREST"""	" ""HOUSTON"""	" ""TX"""	" ""77043"""		"F,D,G"	10/29/2013	(002) Restaurant - Single Service	307	3	3	1	4/29/2013	9:30 AM	10:00 AM	Routine Inspection (001)	PIC1	Paul Chen	2	
200231	LA RUCHE IMPORTS	9314	" ""SUMMERBELL"""	" ""HOUSTON"""	" ""TX"""	" ""77074"""		F	9/13/2013	(151) Warehouses +A85	507	1	2	2	1/17/2013	1:45 PM	2:30 AM	Routine Inspection (001)	SLA1	Sandy Andorka	0	
200236	TEXAS LAND & CATTLE STEAKHOUSE	12313	" ""KATY"""	" ""HOUSTON"""	" ""TX"""	" ""77079"""		"F,G"	9/20/2013	(001) Restaurant - Full Service	205	3	45	1	1/23/2013	11:20 AM	11:35 AM	Routine Inspection (001)	AMF1	Abeid Fells	3	
200245	TAN TAN KITCHEN	6826	" ""RANCHESTER"""	" ""HOUSTON"""	" ""TX"""	" ""77036"""		"F,G"	9/21/2013	(080) Catering Establishment	504	2	0	3	11/15/2012	1:15 PM	2:30 PM	Routine Inspection (001)	JXE1	Jeffrey Erdman	2	
200250	CH BURGERS	2301	" ""YORKTOWN"""	" ""HOUSTON"""	" ""TX"""	" ""77056"""		"F,G"	9/22/2013	(002) Restaurant - Single Service	201	2	3	3	10/5/2012	10:10 AM	10:55 AM	Routine Inspection (001)	JSE1	John Echols	2	
200251	KROGER #363	9919	" ""WESTHEIMER"""	" ""HOUSTON"""	" ""TX"""	" ""77042"""		"F,G"	1/1/2014	(091) Retail Food Market - Multi Service	207	3	110	1	11/8/2012	8:20 AM	11:20 AM	Routine Inspection (001)	MXR1	Marja Ramsey	12	
200254	BARNABY'S CAFE	1701	" ""SHEPHERD"""	" ""HOUSTON"""	" ""TX"""	" ""77019"""		"F,G"	9/24/2013	(001) Restaurant - Full Service	402	3	45	1	2/5/2013	5:00 PM	5:30 PM	Routine Inspection (001)	DTN1	Denise Nguyen	2	
200259	FAMILY DOLLAR #3777	12518	" ""BELLAIRE"""	" ""HOUSTON"""	" ""TX"""	" ""77072"""		F	7/30/2013	(100) Convenience Grocery - Packaged	206	1	7	1	2/18/2013	2:55 PM	3:35 PM	Routine Inspection (001)	EJI1	Essien Isong	0	
200261	SMALL STEPS NURTURING CENTER	1709	" ""DEPELCHIN"""	" ""HOUSTON"""	" ""TX"""	" ""77007"""		"F,G"	10/1/2013	(050) Day Care Center - Open Foods	301	3	3	1	3/19/2013	8:25 AM	9:25 AM	Routine Inspection (001)	JXM1	Javier Mora	2	
200265	HONG KONG FOOD MARKET	11205	" ""BELLAIRE"""	" ""HOUSTON"""	" ""TX"""	" ""77072"""		"F,G"	10/12/2013	(091) Retail Food Market - Multi Service	206	3	150	3	2/18/2013	8:30 AM	10:25 AM	Routine Inspection (001)	EJI1	Essien Isong	5	
200270	SMOOTHIE KING	6020	" ""WESTHEIMER"""	" ""HOUSTON"""	" ""TX"""	" ""77057"""		"F,G"	10/27/2013	(002) Restaurant - Single Service	202	2	4	1	10/17/2012	4:30 PM	4:55 PM	Routine Inspection (001)	JBB1	Jerry Bradshaw	2	
200275	ALPHA BAKERY & DELI	11209	" ""BELLAIRE"""	" ""HOUSTON"""	" ""TX"""	" ""77072"""		"F,G"	11/2/2013	(120) Bakery - Retail 	206	2	6	3	2/14/2013	9:55 AM	10:40 AM	Routine Inspection (001)	EJI1	Essien Isong	2	
200284	BARBARA BUSH ELEMENTARY SCHOOL	13800	" ""WESTERLOCH"""	" ""HOUSTON"""	" ""TX"""	" ""77077"""		"F,D,G"	1/1/2014	(030) School Cafeteria - Elementary	205	3	5	1	4/5/2013	9:10 AM	9:20 AM	Routine Inspection (001)	AMF1	Abeid Fells	3	
200286	MADCO	4802	" ""FUQUA"""	" ""HOUSTON"""	" ""TX"""	" ""77045"""		F	7/26/2013	(002) Restaurant - Single Service	105	1	2	1	8/8/2012	11:50 AM	12:45 PM	Routine Inspection (001)	IFC1	I-Yuan Chen	1	
200291	TAN BINH MARKET	11360	" ""BELLAIRE"""	" ""HOUSTON"""	" ""TX"""	" ""77072"""		"F,G"	11/8/2013	(091) Retail Food Market - Multi Service	206	3	22	2	12/28/2012	9:10 AM	10:00 AM	Routine Inspection (001)	EJI1	Essien Isong	2	
200294	PHO DANH RESTAURANT	11209	" ""BELLAIRE"""	" ""HOUSTON"""	" ""TX"""	" ""77072"""	(832) 279-3717	"F,G"	11/9/2013	(001) Restaurant - Full Service	206	3	7	2	4/26/2013	7:30 PM	8:10 PM	Routine Inspection (001)	CYH1	Chsun-Yi Hsu	2	
200299	WALGREENS #5094	14616	" ""MEMORIAL"""	" ""HOUSTON"""	" ""TX"""	" ""77079"""		F	6/29/2013	(100) Convenience Grocery - Packaged	205	1	9	1	1/30/2013	12:35 PM	1:00 PM	Routine Inspection (001)	AMF1	Abeid Fells	0	
200384	CABARET(RICK'S PLAZA)	410	" ""SAM HOUSTON"""	" ""HOUSTON"""	" ""TX"""	" ""77060"""	(281) 999-7891	"F,G"	9/24/2013	(001) Restaurant - Full Service	406	3	22	1	1/30/2013	9:15 AM	9:45 AM	Routine Inspection (001)	GXL1	Gary Lee	6	
200386	VITAMIN WORLD #3622	232	" ""GREENSPOINT MALL"""	" ""HOUSTON"""	" ""TX"""	" ""77060"""		F	9/29/2013	(100) Convenience Grocery - Packaged	406	1	4	1	2/21/2013	1:30 PM	1:40 PM	Routine Inspection (001)	GXL1	Gary Lee	1	
200394	SUBWAY # 5871	5586	" ""NORTH"""	" ""HOUSTON"""	" ""TX"""	" ""77076"""		"F,G"	10/22/2013	(002) Restaurant - Single Service	305	2	7	3	2/20/2013	4:15 PM	5:15 PM	Routine Inspection (001)	RLR1	Remonda Robinson	2	
200396	TROPICAL REFRESQUERIA	7418	" ""NORTHLINE"""	" ""HOUSTON"""	" ""TX"""	" ""77076"""		"F,G"	10/30/2013	(002) Restaurant - Single Service	305	2	3	4	2/27/2013	3:05 PM	4:50 PM	Routine Inspection (001)	RLR1	Remonda Robinson	2	
200398	JAMES FOOD STORE	3108	" ""ENNIS"""	" ""HOUSTON"""	" ""TX"""	" ""77004"""		F	10/26/2013	(100) Convenience Grocery - Packaged	101	1	1	1	3/7/2013	10:30 AM	10:50 AM	Routine Inspection (001)	JTD1	Jay Dunn	1	
200401	LA CABANA MEXICAN RESTAURANT	3390	" ""FM 1960"""	" ""HUMBLE"""	" ""TX"""	" ""77338"""		"F,G"	11/1/2013	(001) Restaurant - Full Service	407	3	17	2	4/23/2013	10:30 AM	11:40 AM	Routine Inspection (001)	KXR1	Kristina Robles	4	
200404	AMC THEATERS WILLOWBROOK 24	17145	" ""TOMBALL"""	" ""HOUSTON"""	" ""TX"""	" ""77064"""		"F,D,G"	11/2/2013	(002) Restaurant - Single Service	306	2	65	2	3/26/2013	11:05 AM	12:00 PM	Routine Inspection (001)	ZYW1	Zenobia Walker	2	
200412	WALGREENS #4840	2240	" ""NORTHPARK"""	" ""HOUSTON"""	" ""TX"""	" ""77339"""		F	6/29/2013	(100) Convenience Grocery - Packaged	407	1	8	1	3/20/2013	11:45 AM	12:05 PM	Routine Inspection (001)	KXR1	Kristina Robles	0	
200414	SALT GRASS STEAK HOUSE #15	17275	" ""TOMBALL"""	" ""HOUSTON"""	" ""TX"""	" ""77064"""		"F,G"	12/6/2013	(001) Restaurant - Full Service	306	3	90	1	2/5/2013	9:45 AM	10:40 AM	Routine Inspection (001)	ZYW1	Zenobia Walker	4	
200418	THE GROVE	2800	" ""TERMINAL"""	" ""HOUSTON"""	" ""TX"""	" ""77032"""		"F,D,G"	12/14/2013	(002) Restaurant - Single Service	507	2	2	2	10/4/2012	9:45 AM	10:25 AM	Routine Inspection (001)	SLA1	Sandy Andorka	5	
200422	WALGREENS #5671	4445	" ""KINGWOOD"""	" ""KINGWOOD"""	" ""TX"""	" ""77339"""		F	6/29/2013	(100) Convenience Grocery - Packaged	407	1	9	1	2/5/2013	12:05 PM	12:40 PM	Routine Inspection (001)	KXR1	Kristina Robles	0	
200431	BABIN'S SEAFOOD	17485	" ""TOMBALL"""	" ""HOUSTON"""	" ""TX"""	" ""77064"""		"F,G"	3/14/2014	(001) Restaurant - Full Service	306	3	60	3	4/15/2013	10:35 AM	11:35 PM	Routine Inspection (001)	ZYW1	Zenobia Walker	4	
200440	GREEN & FRESH PRODUCE COMPANY	1900	" ""AIRLINE"""	" ""HOUSTON"""	" ""TX"""	" ""77009"""	(713) 864-7744	F	7/1/2013	(151) Warehouses +A85	507	1	10	1	7/5/2012	1:50 PM	2:30 PM	Routine Inspection (001)	SLA1	Sandy Andorka	0	
200441	THE ORIGINAL TIMMY CHAN	5926	" ""SCOTT"""	" ""HOUSTON"""	" ""TX"""	" ""77021"""		"F,G"	7/7/2013	(001) Restaurant - Full Service	103	2	5	2	4/2/2013	10:15 AM	11:15 AM	Routine Inspection (001)	IFC1	I-Yuan Chen	2	
200443	KINGWOOD COVE DAY SCHOOL	1101	" ""HAMBLEN"""	" ""KINGWOOD"""	" ""TX"""	" ""77339"""		F	8/14/2013	(050) Day Care Center - Open Foods	407	3	5	1	3/5/2013	12:25 PM	12:50 PM	Routine Inspection (001)	KXR1	Kristina Robles	1	
200447	HARDY  EXPRESS (VALERO GASOLINE)	742	" ""SAM HOUSTON"""	" ""HOUSTON"""	" ""TX"""	" ""77060"""		"F,D,G"	8/30/2013	(002) Restaurant - Single Service	406	2	5	1	10/3/2012	11:50 AM	12:40 PM	Routine Inspection (001)	GXL1	Gary Lee	4	
200448	CHEVRON FOOD MART	4919	" ""MAIN"""	" ""HOUSTON"""	" ""TX"""	" ""77002"""		"F,D,G"	8/25/2013	(101) Convenience Grocery - Open foods	401	2	5	1	7/31/2012	5:40 PM	5:45 PM	Routine Inspection (001)	GAB1	Gene Bowden	4	
200457	LONE STAR - KINGWOOD COLLEGE BOOKSTORE	20000	" ""KINGWOOD"""	" ""KINGWOOD"""	" ""TX"""	" ""77339"""		F	9/30/2013	(100) Convenience Grocery - Packaged	505	1	9	1	10/24/2012	11:35 AM	12:10 PM	Routine Inspection (001)	CPY1	Ching-Ping Yang	0	
200458	WALGREENS #4605	9200	" ""CULLEN"""	" ""HOUSTON"""	" ""TX"""	" ""77051"""		F	6/29/2013	(100) Convenience Grocery - Packaged	105	1	9	1	1/23/2013	2:20 PM	2:50 PM	Routine Inspection (001)	MXS1	Mastaneh Sarraf	1	
200546	ALONTI CAFE # 47	820	" ""GESSNER"""	" ""HOUSTON"""	" ""TX"""	" ""77024"""		"F,G"	1/2/2014	(002) Restaurant - Single Service	302	2	0	3	4/26/2013	8:50 AM	10:00 AM	Routine Inspection (001)	VLT1	Vakeshia Taylor	2	
200550	YUMI ICE CREAM	8910	" ""HEMPSTEAD"""	" ""HOUSTON"""	" ""TX"""	" ""77008"""		F	3/7/2014	(151) Warehouses +A85	507	1	55	1	7/3/2012	1:15 PM	2:05 PM	Routine Inspection (001)	MAE1	Maurice Edwards	0	
200554	K Q FOOD STORE	9501	" ""LONG POINT"""	" ""HOUSTON"""	" ""TX"""	" ""77055"""		F	3/28/2014	(100) Convenience Grocery - Packaged	302	1	2	1	11/13/2012	1:10 PM	1:30 PM	Routine Inspection (001)	VLT1	Vakeshia Taylor	0	
200569	CAFE CASPIAN	12126	" ""WESTHEIMER"""	" ""HOUSTON"""	" ""TX"""	" ""77077"""		"F,G"	6/19/2013	(001) Restaurant - Full Service	205	3	19	1	12/11/2012	3:00 PM	3:30 PM	Routine Inspection (001)	AMF1	Abeid Fells	4	
200578	JOANN'S CAFE	10575	" ""KATY"""	" ""HOUSTON"""	" ""TX"""	" ""77024"""		"F,G"	7/26/2013	(002) Restaurant - Single Service	302	2	1	1	9/21/2012	8:30 AM	9:10 AM	Routine Inspection (001)	VLT1	Vakeshia Taylor	2	
200579	THE SPAGHETTI WESTERN	1608	" ""SHEPHERD"""	" ""HOUSTON"""	" ""TX"""	" ""77007"""		"F,G"	7/25/2013	(001) Restaurant - Full Service	301	3	17	1	1/31/2013	10:30 AM	11:40 AM	Routine Inspection (001)	JXM1	Javier Mora	2	
200583	FRATELLI'S	10989	" ""NORTHWEST"""	" ""HOUSTON"""	" ""TX"""	" ""77092"""		"F,G"	8/14/2013	(001) Restaurant - Full Service	303	3	9	1	3/7/2013	2:00 PM	3:00 PM	Routine Inspection (001)	JXM1	Javier Mora	2	
200591	PANADERIA TOTOPAN	9349	" ""RICHMOND"""	" ""HOUSTON"""	" ""TX"""	" ""77063"""		"F,G"	9/25/2013	(120) Bakery - Retail 	207	2	6	1	1/31/2013	3:20 PM	4:15 PM	Routine Inspection (001)	MXR1	Marja Ramsey	3	
200592	HOKKAIDO JAPANESE KITCHEN	9108	" ""BELLAIRE"""	" ""HOUSTON"""	" ""TX"""	" ""77036"""		"F,G"	9/25/2013	(001) Restaurant - Full Service	204	3	7	1	3/14/2013	9:50 AM	10:50 AM	Routine Inspection (001)	AMF1	Abeid Fells	2	
200604	YERBERIA MARTINEZ	1517	" ""GESSNER"""	" ""HOUSTON"""	" ""TX"""	" ""77080"""		F	11/21/2013	(100) Convenience Grocery - Packaged	307	1	1	1	3/12/2013	12:05 PM	12:20 PM	Routine Inspection (001)	PIC1	Paul Chen	1	
200608	BEST WESTERN	7114	" ""WILL CLAYTON"""	" ""HUMBLE"""	" ""TX"""	" ""77338"""		"F,G"	11/27/2013	(002) Restaurant - Single Service	407	2	6	1	12/3/2012	9:50 AM	10:20 AM	Routine Inspection (001)	KXR1	Kristina Robles	2	
200609	FAMILY DOLLAR #2690	5110	" ""ALMEDA"""	" ""HOUSTON"""	" ""TX"""	" ""77004"""		F	7/30/2013	(100) Convenience Grocery - Packaged	101	1	6	1	2/12/2013	9:05 AM	10:00 AM	Routine Inspection (001)	JTD1	Jay Dunn	1	
200617	BIKE BARN	2422	" ""BAY AREA"""	" ""HOUSTON"""	" ""TX"""	" ""77058"""		F	9/21/2013	(100) Convenience Grocery - Packaged	107	1	1	1	1/24/2013	3:35 PM	4:10 PM	Routine Inspection (001)	JCR1	Joseph Raia	0	
200625	T.J'S CATERING	1100	" ""DALLAS"""	" ""HOUSTON"""	" ""TX"""	" ""77019"""		"F,G"	9/24/2013	(080) Catering Establishment	504	3	0	2	4/18/2013	8:00 AM	9:30 AM	Routine Inspection (001)	JXE1	Jeffrey Erdman	2	
200635	LITTLE NAPOLI FLYING PIZZA	6445	" ""WESTHEIMER"""	" ""HOUSTON"""	" ""TX"""	" ""77057"""		"F,G"	10/1/2013	(001) Restaurant - Full Service	202	3	8	2	2/27/2013	11:15 AM	12:00 PM	Routine Inspection (001)	JBB1	Jerry Bradshaw	2	
200638	THE HARP	1625	" ""RICHMOND"""	" ""HOUSTON"""	" ""TX"""	" ""77006"""	(713) 443-5458	F	10/4/2013	(062) Bar - Full Service	402	1	6	1	12/5/2012	2:45 PM	3:10 PM	Routine Inspection (001)	DTN1	Denise Nguyen	0	
200644	THE NEUROPSYCHIATRIC CENTER	1502	" ""TAUB LOOP"""	" ""HOUSTON"""	" ""TX"""	" ""77030"""		F	10/13/2013	(040) Hospitals	505	1	6	1	8/8/2012	11:05 AM	12:00 PM	Routine Inspection (001)	CPY1	Ching-Ping Yang	2	
200648	HOUSTON CANDY STORE	1310	" ""PRAIRIE"""	" ""HOUSTON"""	" ""TX"""	" ""77002"""		F	10/8/2013	(002) Restaurant - Single Service	401	2	2	2	1/30/2013	1:20 PM	2:00 PM	Routine Inspection (001)	GAB1	Gene Bowden	0	
200649	PAUL'S SNACK SHOP	1213	" ""PRAIRIE"""	" ""HOUSTON"""	" ""TX"""	" ""77002"""		"F,G"	10/8/2013	(002) Restaurant - Single Service	401	2	3	5	10/2/2012	10:00 AM	10:50 AM	Routine Inspection (001)	GAB1	Gene Bowden	2	
200652	ON TRACK LEARNING CENTER	3401	" ""LIBERTY"""	" ""HOUSTON"""	" ""TX"""	" ""77026"""		F	10/14/2013	(044) Halfway Houses	109	2	1	1	9/19/2012	9:35 AM	10:15 AM	Routine Inspection (001)	JBB1	Jerry Bradshaw	1	
